epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2757,0.80041,3.20774,1.34611,0.00378,1,0.4025,0.26865,0.29042,3.8012,0.89701,7.5e-05,7.5e-05,7.5e-05
2,187.611,0.42658,2.92874,1.115,0.00464,1,0.72786,0.56667,0.34934,3.81564,0.85481,0.000160891,0.000160891,0.000160891
3,276.232,0.40136,2.55633,1.04389,0.00916,1,0.82677,0.69214,0.39625,3.82667,0.94423,0.00024505,0.00024505,0.00024505
4,368.392,0.39145,2.16151,1.02989,0.01062,1,0.75869,0.68875,0.33577,3.79284,0.86358,0.000327476,0.000327476,0.000327476
5,456.822,0.3724,1.86866,1.0089,0.01273,1,0.80161,0.70482,0.38462,3.72891,0.89206,0.00040817,0.00040817,0.00040817
6,544.965,0.36359,1.48436,0.98016,0.01148,1,0.89433,0.7987,0.39125,3.69414,0.90645,0.000487131,0.000487131,0.000487131
7,633.166,0.42712,1.29923,1.0278,0.9043,0.42658,0.99133,0.88901,0.46217,3.29208,1.11912,0.00056436,0.00056436,0.00056436
8,1625.77,0.4457,1.12765,1.05809,0.98806,0.37651,0.98167,0.8966,0.44541,3.1486,1.07027,0.000639856,0.000639856,0.000639856
9,1714.38,0.45848,1.15017,1.07024,0.93674,0.66231,0.995,0.84421,0.50219,3.01631,1.12097,0.00071362,0.00071362,0.00071362
10,1800.92,0.39683,1.02552,1.04289,0.89238,0.66667,0.995,0.82395,0.55986,2.81698,1.25691,0.000785651,0.000785651,0.000785651
11,1888.33,0.42616,0.9938,1.06425,0.97659,0.98643,0.995,0.86562,0.4645,2.8347,1.06778,0.00085595,0.00085595,0.00085595
12,1997.36,0.39599,0.98761,1.02133,0.81434,0.92831,0.995,0.89551,0.39351,2.66359,0.86384,0.000924516,0.000924516,0.000924516
13,2083.32,0.39434,0.99822,1.01858,0.79782,0.78418,0.97918,0.83927,0.39816,3.08376,0.88215,0.00099135,0.00099135,0.00099135
14,2168.93,0.37644,0.90603,1.0376,0.60544,0.69722,0.73344,0.50836,0.49837,3.09063,1.00002,0.00105645,0.00105645,0.00105645
15,2255.09,0.35436,0.86889,1.01877,0.54347,0.78741,0.76043,0.65713,0.51497,2.66555,0.99119,0.00107675,0.00107675,0.00107675
16,2341.69,0.4278,0.95309,0.99677,0.61995,1,0.7877,0.74223,0.38516,2.58303,0.89023,0.00106437,0.00106437,0.00106437
17,2427.85,0.32344,0.87881,0.9738,0.81105,1,0.93805,0.89468,0.33169,2.11554,0.82382,0.001052,0.001052,0.001052
18,3160.01,0.3895,0.86612,1.04802,0.67003,1,0.98372,0.85515,0.53746,2.40284,1.14779,0.00103962,0.00103962,0.00103962
