epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.6518,0.80041,3.20774,1.34611,0.00378,1,0.4025,0.26865,0.29042,3.8012,0.89701,7.5e-05,7.5e-05,7.5e-05
2,183.623,0.42672,2.93337,1.11466,0.00466,1,0.67889,0.53317,0.35276,3.82048,0.84865,0.000154456,0.000154456,0.000154456
3,274.163,0.40343,2.5784,1.04591,0.00807,1,0.82829,0.7246,0.39415,3.83035,0.90982,0.00022525,0.00022525,0.00022525
4,368.054,0.38687,2.21626,1.03204,0.01223,1,0.86323,0.76117,0.36984,3.79635,0.87995,0.000287381,0.000287381,0.000287381
5,460.662,0.37223,1.9614,1.00794,0.01438,1,0.80198,0.72554,0.38601,3.70063,0.88478,0.00034085,0.00034085,0.00034085
6,546.707,0.34583,1.56346,0.97662,0.01381,1,0.94289,0.90202,0.35169,3.64519,0.87896,0.000385656,0.000385656,0.000385656
7,744.706,0.40773,1.38915,1.01571,0.96737,0.38789,0.995,0.89842,0.43128,3.34414,1.1181,0.0004218,0.0004218,0.0004218
8,846.934,0.41494,1.20783,1.05584,1,0.37674,0.995,0.94902,0.39485,3.10362,1.04426,0.000449281,0.000449281,0.000449281
9,946.898,0.42394,1.18892,1.05547,0.95778,0.80836,0.995,0.96217,0.36354,2.77341,0.88441,0.0004681,0.0004681,0.0004681
10,1042.82,0.35891,1.00198,1.01926,0.94803,0.8443,0.995,0.93497,0.36508,2.69777,0.85381,0.000478256,0.000478256,0.000478256
11,1132.49,0.32647,1.83191,1.03638,0.94917,0.90532,0.995,0.95684,0.3531,2.85909,0.90875,0.00047975,0.00047975,0.00047975
12,1221.67,0.28429,1.52845,1.03119,0.91941,0.9993,0.975,0.91973,0.33564,2.68134,0.95333,0.000472581,0.000472581,0.000472581
13,1310.69,0.29872,1.48651,1.02411,0.94574,0.99866,0.995,0.95375,0.31331,2.80103,0.88552,0.00045675,0.00045675,0.00045675
14,1405.22,0.28452,1.45076,1.01291,0.94902,0.88858,0.995,0.96588,0.29528,2.74606,0.78356,0.000432256,0.000432256,0.000432256
15,1501.69,0.26213,1.38742,0.98927,0.96835,0.99733,0.995,0.95056,0.30765,1.9382,0.79569,0.00038375,0.00038375,0.00038375
16,1592.29,0.31186,1.41536,1.04976,0.97699,0.99744,0.995,0.95996,0.25889,1.7064,0.7569,0.000321875,0.000321875,0.000321875
17,1687.51,0.25456,1.22514,1.00154,0.9724,1,0.995,0.96696,0.26376,1.7047,0.75945,0.00026,0.00026,0.00026
18,1779.16,0.2443,1.25004,0.99489,0.97049,1,0.995,0.97024,0.26674,1.72952,0.7376,0.000198125,0.000198125,0.000198125
19,1878.59,0.24062,1.1895,0.99633,0.9787,1,0.995,0.96726,0.29146,1.66107,0.75408,0.00013625,0.00013625,0.00013625
20,1975.96,0.23991,1.2079,0.9981,0.98559,1,0.995,0.96798,0.29566,1.54075,0.76667,7.4375e-05,7.4375e-05,7.4375e-05
